registrarname,domains
HETZNER ONLINE AG,125947
Gandi SAS (R42-LROR),124950
MAT BAO TRADING & SERVICE COMPANY LIMITED D/B/A MAT BAO,124428
"EIMS (SHENZHEN) CULTURE & TECHNOLOGY CO., LTD",122809
"SOLUCIONES CORPORATIVAS IP, SL",121885
CV. RUMAHWEB INDONESIA,121253
HETZNER ONLINE GMBH,120772
NETART REGISTRAR SP. Z O.O.,117958
MarkMonitor Inc.,115635
OVH sas,114235
OVH (R268-LRMS),111735
MIJN INTERNETOPLOSSING B.V.,110841
PDR Ltd. d/b/a PublicDomainRegistry.com (R159-LRMS),110249
HANG ZHOU E-BUSINESS SERVICES CO.LTD.,110039
PIR Special Projects,109729
REBEL.COM CORP.,109230
Moniker Online Services LLC (R145-LROR),108695
"PSI-USA, Inc. dba Domain Robot (R68-LROR)",107594
"New Dream Network, LLC dba DreamHost Web Hosting (R173-LROR)",107560
PAIR NETWORKS INC.D/B/A PAIRNIC,107305
GAL COMMUNICATION (COMMUNIGAL) LTD.,107188
"NETWORK SOLUTIONS, LLC",103034
"CSC Corporate Domains, Inc. (R24-LROR)",103018
PIR Special Projects (R1776-LROR),101132
GUANGDONG NAISINIKE INFORMATION TECHNOLOGY CO LTD,101052
"LLC ""REGISTRAR OF DOMAIN NAMES REG.RU""",100822
HOSTINGER UAB,100161
"GO AUSTRALIA DOMAINS, LLC",99570
Cronon AG (R199-LRMS),99145
ESTRATEGIAS WEBSITE S.L.,99059
Hichina Zhicheng Technology Limited,98553
"PSI-USA, Inc. dba Domain Robot (R207-LRMS)",98298
"GO FRANCE DOMAINS, LLC",98046
DOMAINWARDS.COM LLC,97354
Google Inc.,96683
"GO CANADA DOMAINS, LLC",96499
NORDNET,96321
"IN2NET NETWORK, INC.",95972
"EASYDNS TECHNOLOGIES, INC.",95601
Crazy Domains FZ-LLC (R559-LRMS),95323
"GO CHINA DOMAINS, LLC",94857
Vautron Rechenzentrum AG,94587
DEUTSCHE TELEKOM AG,94067
"GO MONTENEGRO DOMAINS, LLC",93814
NETART SP Z O.O,93560
Mesh Digital Limited (R517-LRMS),93294
DOMAINFALCON LLC,92597
"New Dream Network, LLC dba DreamHost Web Hosting",91846
DOMAINSATCOST.CA CORP,90864
DOMAINHOOD LLC,90779
Cronon AG (R110-LROR),89775
"ACTIVE REGISTRAR, INC.",89541
Crazy Domains FZ-LLC,89011
"AMAZON REGISTRAR, INC.",88797
REBEL.CA CORP.,87948
eName Technology Co. Ltd.,87422
"GMO Internet, Inc. d/b/a Discount-Domain.com and Onamae.com R39-ASIA (49)",87088
PT ARDH GLOBAL INDONESIA,87060
"ASCIO Technologies, Inc. - Denmark (R76-LROR)",86688
OVH SARL,86035
"ADVANCED INTERNET TECHNOLOGIES, INC.",85516
ALPINE DOMAINS INC.,85217
NEUBOX INTERNET SA DE CV,85156
"TECNOCRATICA CENTRO DE DATOS, S.L.",83251
"BRANDON GRAY INTERNET SERVICES, INC. DBA NAMEJUICE.COM",82799
INTERNETWORX LTD. & CO. KG,81799
DOMAINLOCAL LLC,81743
SHANGHAI BEST ORAY INFORMATION S&T CO. LTD.,81050
MELBOURNE IT LTD,81020
OURDOMAINS LIMITED,80462
Hichina Zhicheng Technology Limited (R1373-LROR),79957
"eNom, Inc (48)",79834
SYNERGY WHOLESALE PTY LTD,79374
"Dynadot, LLC",78673
BLACKNIGHT INTERNET SOLUTIONS LTD,78617
"NAMEPAL.COM, LLC",78415
"Domain.com,LLC (R656-LRMS)",76877
"DOMAINCONTEXT, INC.",76397
DOMAINADMINISTRATION.COM LLC,76054
MarkMonitor Inc. (R37-LROR),75733
"BLUE RAZOR DOMAINS, LLC",74942
"INTERNET INVEST, LTD. DBA IMENA.UA",73401
"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA (R117-LRMS)",73390
RegistryGate GmbH,73196
"WILD WEST DOMAINS, INC.",72379
NAMESCOUT CORP,71276
WEBNAMES.CA INC.,69954
"Dynadot, LLC (R1266-LROR)",68903
BINERO AB,68733
"Domain.com,LLC",68718
1API GmbH,68509
OnlineNIC Inc. (R64-LROR),68258
PLANETDOMAIN PTY LTD.,66892
REGTIME LTD.,66085
"Regional Network Information Center, JSC dba RU-CENTER",65355
"101DOMAIN, INC.",65244
"Melbourne IT, Ltd (R141-LRMS)",65101
FBS Inc. (R1783-LROR),64772
"Ascio Technologies, Inc. - Denmark (R117-LRMS)",63075
"DNC Holdings, Inc. (R48-LROR)",62740
"NameCheap, Inc",62162
"Namesilo, LLC",61975
united-domains AG (R1838-LROR),61222
"CSC Corporate Domains, Inc. (R129-LRMS)",59975
"MISK.COM, INC.",59686
United-domains AG (R599-LRMS),59573
"CORPORATE DOMAINS, INC.",58601
Launchpad.com Inc.,58430
Moniker Online Services LLC,57875
"DNC Holdings, Inc.",57853
WORLD4YOU INTERNET SERVICES GMBH,57137
Vautron Rechenzentrum AG (R1782-LROR),56061
Register.IT SPA (R124-LROR),55493
PARAGON INTERNET GROUP LTD T/A PARAGON NAMES,54506
CENTER OF UKRAINIAN INTERNET NAMES,54390
Launchpad.com Inc. (R1860-LROR),52962
Vautron Rechenzentrum AG (R567-LRMS),52784
VITALWERKS INTERNET SOLUTIONS LLC DBA NO-IP,52645
United-domains AG,52562
"22net, Inc.",52323
CJSC REGISTRAR R01,51911
West263 International Limited (1915),50819
Realtime Register B.V.,50808
"REGISTER4LESS, INC.",50355
Name.com LLC (R279-LRMS),49744
united-domains AG,49738
OnlineNIC Inc.,49710
"INTERPLANET, S.A DE C.V.",48967
HTTP.NET INTERNET GMBH,48889
NOM IQ LTD (DBA COM LAUDE),48250
Register.IT SPA,48135
ACRC DOMAINS,47705
ZHUHAI NAISINIKE INFORMATION TECHNOLOGY CO LTD.,47654
"ASCIO TECHNOLOGIES, INC. DANMARK – FILIAL AF ASCIO TECHNOLOGIES, INC. USA",47432
FBS Inc.,47373
DOMAINTACT LLC,47156
"ELB GROUP, INC.",46427
CPS-DATENSYSTEME GMBH,46275
CSL Computer Service Langenbach GmbH d/b/a joker.com a German GmbH (R25-LROR),46160
"NETPIA.COM, INC.",46050
NAMELING.COM LLC,45924
DOMAINCLUB.COM LLC,45775
AEROTEK BILISIM TAAHUT SANAYI VE TICARET LTD STI.,45695
"Arsys Internet, S.L. dba NICLINE.COM",45487
DOMAINCRITICS LLC,45290
"DOMAINSHYPE.COM, INC.",45286
NAMETURN LLC,45062
"THE REGISTRY AT INFO AVENUE, LLC D/B/A SPIRIT COMMUNICATIONS",45004
IP MIRROR PTE LTD. DBA IP MIRROR,44571
Tucows Domains Inc. (69),44502
1API GmbH (R1724-LROR),44443
MarkMonitor Inc. (R151-LRMS),44017
"1 MORE NAME, LLC",43990
DOMAINPRIME.COM LLC,43559
"NET-CHINESE CO., LTD.",43548
NAME.COM,43013
MEDIA ELITE HOLDINGS LIMITED,42877
ZNET TECHNOLOGIES PVT LTD.,42562
THENAMECO LLC,42207
NAMETELL.COM LLC,42170
Uniregistrar Corp,42076
PAPAKI LTD,41846
TRADENAMED LLC,41694
"GoDaddy.com, LLC R45-ASIA (146)",41625
"INTERDOMINIOS, INC.",41377
AEROTEK BILISIM SANAYI VE TICARET AS,41166
RegistryGate GmbH (R428-LRMS),41162
"Bizcn.com, Inc.",41161
PRONAMED LLC,41150
PSI USA,40997
PHEENIX. INC.,40775
REGISTER.CA INC.,40403
EPAG Domainservices GmbH,40280
"ANNULET, INC",40258
Internet.bs Corp. (R1601-LROR),40130
Xin Net Technology Corporation (R118-LROR),40009
"NAME SHARE, INC",39984
"CENTURY ORIENTAL INTERNATIONAL CO., LTD.",39946
NAMEWEB BVBA,39866
NAMEJOLT.COM LLC,38932
ZOOMREGISTRAR LLC,38818
WORTHYDOMAINS LLC,38657
NAMEBREW LLC,38427
Xin Net Technology Corporation,38426
"Dynadot, LLC (R259-LRMS)",38311
Regional Network Information Center JSC dba RU-CENTER (R2369-PRO),38256
NHAN HOA SOFTWARE COMPANY LTD,38208
DOMAINEXTREME LLC,38130
"DomainPeople, Inc.",38086
RegistryGate GmbH (R1565-LROR),38057
AB NAME ISP,38024
FAST DOMAIN INC.,37948
"Register.com, Inc. (R140-LRMS)",37882
Tucows.Com Co. (69),37861
"MARKMONITOR, INC.",37831
DOMAINDELIGHTS LLC,37649
Hichina Zhicheng Technology Ltd (420),37403
"FIRSTSERVER, INC.",37387
NAMESTRATEGIES LLC,37351
"FREEPARKING DOMAIN REGISTRARS, INC",37305
"BACKSLAP DOMAINS, INC",37233
Fabulous.com Pty Ltd. (R133-LROR),37125
CSL Computer Service Langenbach GmbH d/b/a joker.com (R161-LRMS),37097
NAMEFORWARD LLC,37067
HiChina Zhicheng Technology Limited,37023
GUANGZHOU EHOST TECH.CO.LTD.,37002
CSL Computer Service Langenbach GmbH d/b/a joker.com a German GmbH,37001
"Namesilo, LLC (R1843-LROR)",36926
DOTNAMED LLC,36856
Name.com LLC,36771
GLAMDOMAINS LLC,36756
Gandi SAS (R191-LRMS),36748
"Arsys Internet, S.L. dba NICLINE.COM (R144-LROR)",36606
JSC REGISTRAR R01,36486
Google Inc. (R1356-LROR),36449
PDR Ltd. d/b/a PublicDomainRegistry.com R28-ASIA (303),36403
TierraNet Inc. dba DomainDiscover (R86-LROR),35836
DOMAININFO AB D/B/A DOMAININFO.COM,35814
UK-2 LIMITED,35779
Realtime Register B.V. (R1336-LROR),35777
Internet Domain Service BS Corp,35578
NANJING IMPERIOSUS TECHNOLOGY CO. LTD.,35309
ENETICA PTY LTD,35200
ASCIO TECHNOLOGIES INC.,35133
"Hangzhou AiMing Network Co., LTD",34665
INTERNETTERS LTD.,34509
TierraNet Inc. dba DomainDiscover,34435
Fastdomain Inc. (R397-LRMS),34340
GOOD DOMAIN REGISTRY PVT LTD.,34329
"PROFILE BUILDER, LLC.",34236
"ASCIO TECHNOLOGIES, INC. DANMARK &NDASH; FILIAL AF ASCIO TECHNOLOGIES, INC. USA",33959
NAMESAY LLC,33767
"DOMAIN-IT, INC.",33653
"AZ.PL, INC.",33648
SIBERNAME INTERNET AND SOFTWARE TECHNOLOGIES INC.,33568
"DomainPeople, Inc. (R30-LROR)",33566
Network Solutions LLC (2),33501
TOTAL WEB SOLUTIONS LIMITED TRADING AS TOTALREGISTRATIONS,33372
NAMESHERE LLC,33147
"MARCARIA.COM, INTERNATIONAL, INC.",33064
CHINA SPRINGBOARD INC.,33051
NAMESECTOR LLC,32942
"ASADAL, INC.",32770
Fabulous.com Pty Ltd.,32739
Nics Telekomunikasyon Ticaret Ltd. Sti. (R1812-LROR),32698
DOMAINGETTER LLC,32661
BIGROCK SOLUTIONS LTD.,32182
Afilias GRS Test Account,31792
ALANTRON BILISIM LTD STI.,31729
SILICONHOUSE.NET PVT LTD.,31478
"CLICK REGISTRAR, INC. D/B/A PUBLICDOMAINREGISTRY.COM",31461
VISUALNAMES LLC,31306
CSL Computer Service Langenbach GmbH d/b/a joker.com,31038
"Beijing RITT - Net Technology Development Co., Ltd (1438)",31033
TLDS L.L.C. d/b/a SRSPlus (R78-LROR),30986
PRESIDENTIALDOMAINS LLC,30730
"WINGU NETWORKS, S.A DE C.V.",30645
ORANGE,29933
EJEE GROUP HOLDINGS LIMITED,29859
Crazy Domains FZ-LLC (R1789-LROR),29833
"IHS Telekom, Inc. (R1705-LROR)",29786
VENTRAIP GROUP (AUSTRALIA) PTY LTD TRADING AS VENTRAIP WHOLESALE,29664
"Corehub, S.R.L (R23-LROR)",29606
SERVER PLAN SRL,29590
"NETWORK INFORMATION CENTER MEXICO, S. C.",29311
CCI REG S.A.,29004
REGISTER.IT SPA (R228-LRMS),28981
ACCENTDOMAINS LLC,28939
DOMAINAHEAD LLC,28854
"HANGANG SYSTEMS, INC. D/B/A DOREGI.COM",28786
INFOCOM NETWORK LTD.,28561
"VOLUSION, INC.",28018
Moniker Online Services LLC (R245-LRMS),27900
HICHINA ZHICHENG TECHNOLOGY LIMITED,27840
HOSTEUR SARL,27735
"GUANGZHOU MING YANG INFORMATION TECHNOLOGY CO., LTD",27648
THE REGISTRAR COMPANY B.V.,27557
"OnlineNIC, Inc. (R170-LRMS)",27504
2030138 ONTARIO INC. DBA NAMESBEYOND.COM AND DBA GOODLUCKDOMAIN.COM,27425
1API GmbH (R509-LRMS),27396
"AZDOMAINZ, LLC",27368
KOREA SERVER HOSTING INC.,27084
DOMAIN THE NET TECHNOLOGIES LTD.,27045
Dinahosting s.l.,26997
NAMESPRO SOLUTIONS INC.,26829
Azdomainz LLC (R1733-LROR),26648
10dencehispahard S.L. (CDmon.com),26604
eName Technology Co. Ltd. (R1701-LROR),26572
"Beijing RITT - Net Technology Development Co., Ltd",26534
