registrarname,domains
"CORPORATE DOMAINS, INC.",93743
NETART SP Z O.O,93560
US REGISTRAR L.L.C.,93185
DOMAINFALCON LLC,92597
RegistryGate GmbH,92122
"NAMECHEAP, INC.",91912
"New Dream Network, LLC dba DreamHost Web Hosting",91846
FAST DOMAIN INC.,91550
DOMAINSATCOST.CA CORP,90864
DOMAINHOOD LLC,90779
"ACTIVE REGISTRAR, INC.",90428
Cronon AG (R110-LROR),89775
"Tucows Domains, Inc.",89741
REBEL.CA CORP.,89193
"AMAZON REGISTRAR, INC.",88797
"ADVANCED INTERNET TECHNOLOGIES, INC.",87635
eName Technology Co. Ltd.,87422
PT ARDH GLOBAL INDONESIA,87385
"GMO Internet, Inc. d/b/a Discount-Domain.com and Onamae.com R39-ASIA (49)",87088
"ASCIO Technologies, Inc. - Denmark (R76-LROR)",86688
ALPINE DOMAINS INC.,85217
NEUBOX INTERNET SA DE CV,85156
"TECNOCRATICA CENTRO DE DATOS, S.L.",83251
ICM Registry LLC (R3190-AGRS),82806
"BRANDON GRAY INTERNET SERVICES, INC. DBA NAMEJUICE.COM",82799
GMO Internet Inc,82149
INTERNETWORX LTD. & CO. KG,81804
ICM Registry LLC,81788
DOMAINLOCAL LLC,81743
Dynadot LLC,81730
Xin Net Technology Corporation,81583
NAME.COM,81477
SHANGHAI BEST ORAY INFORMATION S&T CO. LTD.,81050
OURDOMAINS LIMITED,80462
SYNERGY WHOLESALE PTY LTD,79970
Hichina Zhicheng Technology Limited (R1373-LROR),79957
"eNom, Inc (48)",79834
BLACKNIGHT INTERNET SOLUTIONS LTD,78617
"NAMEPAL.COM, LLC",78415
"Domain.com,LLC (R656-LRMS)",76877
"GMO Internet, Inc.",76414
"DOMAINCONTEXT, INC.",76397
DOMAINADMINISTRATION.COM LLC,76054
MarkMonitor Inc. (R37-LROR),75783
"BLUE RAZOR DOMAINS, LLC",74942
Uniregistry,74219
ACRC Domains,74148
Realtime Register B.V.,73682
"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA (R117-LRMS)",73593
"INTERNET INVEST, LTD. DBA IMENA.UA",73401
"Name.com, Inc.",72595
NAMESCOUT CORP,71276
"Dynadot, LLC (R1266-LROR)",71109
"Namesilo, LLC",70933
WEBNAMES.CA INC.,70741
"DNC Holdings, Inc.",68972
"101DOMAIN, INC.",68852
BINERO AB,68733
"Domain.com,LLC",68718
OnlineNIC Inc. (R64-LROR),68258
"EIMS (Shenzhen) Culture & Technology Co., Ltd",67768
PLANETDOMAIN PTY LTD.,66892
REGTIME LTD.,66126
"NameCheap, Inc",65625
"Wild West Domains, Inc.",65207
"Melbourne IT, Ltd (R141-LRMS)",65101
FBS Inc. (R1783-LROR),64772
Launchpad.com Inc.,63676
Tucows.com Co.,63353
"MISK.COM, INC.",63346
1&1 Internet SE (TLDs),63299
"Ascio Technologies, Inc. - Denmark (R117-LRMS)",63075
"MARKMONITOR, INC.",63066
"DNC Holdings, Inc. (R48-LROR)",62740
FBS Inc.,62401
Name.com,62136
"Name.com, inc.",61484
united-domains AG (R1838-LROR),61250
XinNet Technology Corporation,60958
"Bizcn.com, Inc.",60752
"CSC Corporate Domains, Inc. (R129-LRMS)",60501
United-domains AG (R599-LRMS),60152
PDR Ltd,59672
Moniker Online Services LLC,58154
Instra Corporation Pty Ltd,57600
Alibaba Cloud Computing Ltd,57216
WORLD4YOU INTERNET SERVICES GMBH,57137
HiChina Zhicheng Technology Limited,56696
"ASCIO TECHNOLOGIES, INC. DANMARK – FILIAL AF ASCIO TECHNOLOGIES, INC. USA",56601
Beijing Innovative Linkage Technology Ltd. dba dns.com.cn,56399
Vautron Rechenzentrum AG (R1782-LROR),56061
Register.IT SPA (R124-LROR),55493
PARAGON INTERNET GROUP LTD T/A PARAGON NAMES,54506
CENTER OF UKRAINIAN INTERNET NAMES,54390
United-domains AG,53743
"22net, Inc.",53313
Launchpad.com Inc. (R1860-LROR),52962
Vautron Rechenzentrum AG (R567-LRMS),52784
VITALWERKS INTERNET SOLUTIONS LLC DBA NO-IP,52645
CJSC REGISTRAR R01,51911
Name.com LLC (R279-LRMS),51285
"REGISTER4LESS, INC.",50956
PSI USA,50861
West263 International Limited (1915),50819
OnlineNIC Inc.,49710
Namecheap Inc.,49093
"INTERPLANET, S.A DE C.V.",48967
HTTP.NET INTERNET GMBH,48889
NOM IQ LTD (DBA COM LAUDE),48555
Register.IT SPA,48135
EPAG Domainservices GmbH,48049
ZHUHAI NAISINIKE INFORMATION TECHNOLOGY CO LTD.,47654
DOMAINTACT LLC,47156
成都西维数码,47137
"NETPIA.COM, INC.",46722
"ELB GROUP, INC.",46427
CPS-DATENSYSTEME GMBH,46355
CSL Computer Service Langenbach GmbH d/b/a joker.com a German GmbH (R25-LROR),46160
NAMELING.COM LLC,45924
DOMAINCLUB.COM LLC,45775
AEROTEK BILISIM TAAHUT SANAYI VE TICARET LTD STI.,45695
"101domain, Inc.",45527
"Arsys Internet, S.L. dba NICLINE.COM",45487
DOMAINCRITICS LLC,45290
"DOMAINSHYPE.COM, INC.",45286
NAMETURN LLC,45062
"THE REGISTRY AT INFO AVENUE, LLC D/B/A SPIRIT COMMUNICATIONS",45004
Minds and Machines LLC,44823
IP MIRROR PTE LTD. DBA IP MIRROR,44672
1API GmbH (R1724-LROR),44623
MarkMonitor Inc. (R151-LRMS),44571
Tucows Domains Inc. (69),44502
DYNADOT LLC,44103
"1 MORE NAME, LLC",43990
"NET-CHINESE CO., LTD.",43763
DOMAINPRIME.COM LLC,43559
"Google, Inc.",43148
MEDIA ELITE HOLDINGS LIMITED,42877
ASCIO TECHNOLOGIES INC.,42751
ZNET TECHNOLOGIES PVT LTD.,42566
THENAMECO LLC,42207
"MONIKER ONLINE SERVICES, LLC",42191
NAMETELL.COM LLC,42170
Gandi,42098
PAPAKI LTD,41846
TRADENAMED LLC,41694
"GoDaddy.com, LLC R45-ASIA (146)",41625
"INTERDOMINIOS, INC.",41377
AEROTEK BILISIM SANAYI VE TICARET AS,41166
RegistryGate GmbH (R428-LRMS),41162
PRONAMED LLC,41150
Mesh Digital Ltd,41013
PHEENIX. INC.,40775
101domain GRS Limited,40588
REGISTER.CA INC.,40406
"ANNULET, INC",40258
NAMEWEB BVBA,40216
Internet.bs Corp. (R1601-LROR),40130
Xin Net Technology Corporation (R118-LROR),40009
"CENTURY ORIENTAL INTERNATIONAL CO., LTD.",39946
Fast Domain Inc.,39788
shanghai meicheng technology information development co ltd,39579
"Dynadot, LLC (R259-LRMS)",38987
NAMEJOLT.COM LLC,38932
URL Solutions Inc.,38879
ZOOMREGISTRAR LLC,38818
WORTHYDOMAINS LLC,38657
NAMEBREW LLC,38427
AB NAME ISP,38416
Regional Network Information Center JSC dba RU-CENTER (R2369-PRO),38256
Gandi SAS (R191-LRMS),38228
NHAN HOA SOFTWARE COMPANY LTD,38208
rucenter-msk-fir,38178
DOMAINEXTREME LLC,38130
"DomainPeople, Inc.",38110
RegistryGate GmbH (R1565-LROR),38057
"Register.com, Inc. (R140-LRMS)",37985
Crazy Domains FZ - LLC,37940
1API,37889
Tucows.Com Co. (69),37861
DOMAINDELIGHTS LLC,37649
OVH SAS,37410
Hichina Zhicheng Technology Ltd (420),37403
"FIRSTSERVER, INC.",37387
NAMESTRATEGIES LLC,37351
"FREEPARKING DOMAIN REGISTRARS, INC",37305
"BACKSLAP DOMAINS, INC",37233
CSL Computer Service Langenbach GmbH d/b/a joker.com (R161-LRMS),37199
Xin Net Corp,37160
Fabulous.com Pty Ltd. (R133-LROR),37125
NAMEFORWARD LLC,37067
GUANGZHOU EHOST TECH.CO.LTD.,37002
CSL Computer Service Langenbach GmbH d/b/a joker.com a German GmbH,37001
"Namesilo, LLC (R1843-LROR)",36926
FBS Internet Technology Uluslarasi Ltd.sti,36883
DOTNAMED LLC,36856
GLAMDOMAINS LLC,36756
"Arsys Internet, S.L. dba NICLINE.COM (R144-LROR)",36606
JSC REGISTRAR R01,36486
Google Inc. (R1356-LROR),36449
PDR Ltd. d/b/a PublicDomainRegistry.com R28-ASIA (303),36403
TierraNet Inc. dba DomainDiscover (R86-LROR),35836
DOMAININFO AB D/B/A DOMAININFO.COM,35821
UK-2 LIMITED,35779
Realtime Register B.V. (R1336-LROR),35777
Internet Domain Service BS Corp,35578
NANJING IMPERIOSUS TECHNOLOGY CO. LTD.,35309
CCI REG S.A.,35285
ENETICA PTY LTD,35200
"Corporate Domains, Inc.",35069
1&1 Internet AG (TLDs),34936
"Hangzhou AiMing Network Co., LTD",34665
INTERNETTERS LTD.,34509
TierraNet Inc. dba DomainDiscover,34435
Melbourne IT Ltd,34405
Fastdomain Inc. (R397-LRMS),34340
GOOD DOMAIN REGISTRY PVT LTD.,34329
"PROFILE BUILDER, LLC.",34236
BIGROCK SOLUTIONS LTD.,34055
"ASCIO TECHNOLOGIES, INC. DANMARK &NDASH; FILIAL AF ASCIO TECHNOLOGIES, INC. USA",33959
NAMESAY LLC,33767
"DOMAIN-IT, INC.",33653
"AZ.PL, INC.",33648
SIBERNAME INTERNET AND SOFTWARE TECHNOLOGIES INC.,33568
"DomainPeople, Inc. (R30-LROR)",33566
Network Solutions LLC (2),33501
TOTAL WEB SOLUTIONS LIMITED TRADING AS TOTALREGISTRATIONS,33449
NAMESHERE LLC,33147
"MARCARIA.COM, INTERNATIONAL, INC.",33112
CHINA SPRINGBOARD INC.,33051
NAMESECTOR LLC,32942
"ASADAL, INC.",32770
ERANET INTERNATIONAL LIMITED,32741
Fabulous.com Pty Ltd.,32739
Nics Telekomunikasyon Ticaret Ltd. Sti. (R1812-LROR),32698
DOMAINGETTER LLC,32661
Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn) (R4279-ACRS),32604
Chendu West Dimension Digital Tech,32029
"101Domain, Inc.",31921
CSL Computer Service Langenbach GmbH d/b/a joker.com,31810
Afilias GRS Test Account,31792
ALANTRON BILISIM LTD STI.,31729
SILICONHOUSE.NET PVT LTD.,31478
"CLICK REGISTRAR, INC. D/B/A PUBLICDOMAINREGISTRY.COM",31461
VISUALNAMES LLC,31306
"Beijing RITT - Net Technology Development Co., Ltd (1438)",31033
TLDS L.L.C. d/b/a SRSPlus (R78-LROR),30986
PRESIDENTIALDOMAINS LLC,30730
"WINGU NETWORKS, S.A DE C.V.",30645
101Domain-Inc ltd,30595
EJEE GROUP HOLDINGS LIMITED,30530
ORANGE,29933
"GoDaddy.com, LLC (R3218-AGRS)",29835
Crazy Domains FZ-LLC (R1789-LROR),29833
