tld,Sunrise (Start/End Date Sunrise),open,close
xn--vuq861b,Start Date Sunrise,22-Feb-16,26-Mar-16
amica,Spec 13 - .BRAND TLD,,
LANCASTER,Spec 13 - .BRAND TLD,,
berlin,Start Date Sunrise,14-Feb-14,16-Mar-14
club,End Date Sunrise,28-Jan-14,29-Mar-14
webcam,End Date Sunrise,31-Mar-14,30-May-14
trade,End Date Sunrise,31-Mar-14,30-May-14
buzz,End Date Sunrise,15-Jan-14,18-Mar-14
bid,End Date Sunrise,31-Mar-14,30-May-14
CSC,Spec 13 - .BRAND TLD,,
man,Spec 13 - .BRAND TLD,,
arte,Spec 13 - .BRAND TLD,,
clubmed,Spec 13 - .BRAND TLD,,
jaguar,Spec 13 - .BRAND TLD,,
landrover,Spec 13 - .BRAND TLD,,
seven,Spec 13 - .BRAND TLD,,
ITAU,Spec 13 - .BRAND TLD,,
rwe,Spec 13 - .BRAND TLD,,
auto,Start Date Sunrise,9-Dec-15,12-Jan-16
LIAISON,Spec 13 - .BRAND TLD,,
chanel,Spec 13 - .BRAND TLD,,
tickets,Start Date Sunrise,13-Jul-15,11-Sep-15
theatre,Start Date Sunrise,14-Dec-15,19-Jan-16
SECURITY,Start Date Sunrise,17-Dec-15,19-Jan-16
PROTECTION,Start Date Sunrise,17-Dec-15,19-Jan-16
cars,Start Date Sunrise,9-Dec-15,12-Jan-16
car,Start Date Sunrise,9-Dec-15,12-Jan-16
feedback,End Date Sunrise,20-Oct-15,6-Jan-16
PET,Start Date Sunrise,19-Jan-16,19-Feb-16
obi,Spec 13 - .BRAND TLD,,
ubs,Spec 13 - .BRAND TLD,,
LOTTO,Start Date Sunrise,22-Jul-15,21-Aug-15
film,End Date Sunrise,4-Aug-15,3-Oct-15
OFFICE,Start Date Sunrise,4-Nov-15,6-Jan-16
Redstone,Spec 13 - .BRAND TLD,,
REIT,Start Date Sunrise,17-Nov-15,20-Dec-15
linde,Spec 13 - .BRAND TLD,,
AIG,Spec 13 - .BRAND TLD,,
ABBOTT,Spec 13 - .BRAND TLD,,
boots,Spec 13 - .BRAND TLD,,
xperia,Spec 13 - .BRAND TLD,,
sanofi,Spec 13 - .BRAND TLD,,
orange,Spec 13 - .BRAND TLD,,
tatamotors,Spec 13 - .BRAND TLD,,
vistaprint,Spec 13 - .BRAND TLD,,
vista,Spec 13 - .BRAND TLD,,
abogado,End Date Sunrise,30-Jul-15,28-Sep-15
law,End Date Sunrise,30-Jul-15,28-Sep-15
lexus,Spec 13 - .BRAND TLD,,
toyota,Spec 13 - .BRAND TLD,,
lixil,Spec 13 - .BRAND TLD,,
ricoh,Spec 13 - .BRAND TLD,,
SKYPE,Spec 13 - .BRAND TLD,,
JLC,Spec 13 - .BRAND TLD,,
MONTBLANC,Spec 13 - .BRAND TLD,,
RENT,Start Date Sunrise,3-Aug-15,17-Sep-15
forex,Start Date Sunrise,15-Oct-15,15-Nov-15
broker,Start Date Sunrise,15-Oct-15,15-Nov-15
dvag,Spec 13 - .BRAND TLD,,
pohl,End Date Sunrise,7-Sep-15,6-Nov-15
